Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
21.24,531,0.0011510209526279,0.0001491231470452,0,other,0,1
21.28,532,0.0004104057786589,7.22613743795058e-05,0,other,0,1
21.32,533,0.000204347759349,0.0001588047449437,0,other,0,1
21.36,534,0.0008144730231376,5.5553653048408686e-05,0,other,0,1
21.4,535,0.0011860102315173,0.0001206712321028,0,other,0,1
21.44,536,0.0012744074241842,4.0225895541139206e-05,0,other,0,1
21.48,537,0.0003564036607538,8.198961577299282e-05,0,other,0,1
21.52,538,0.0011029534402462,0.0002553066603357,0,other,0,1
21.56,539,0.0020453328950472,0.0001701957841803,0,other,0,1
21.6,540,0.0040182695202389,5.096483984860273e-05,0,other,0,1
21.64,541,0.0010384559417693,6.107851743432088e-06,0,other,0,1
21.68,542,0.0003939388703653,0.0,0,other,0,1
21.72,543,0.0001993987350559,0.0001046651900529,0,other,0,1
21.76,544,0.000189235685307,0.0004510870391631,0,other,0,0
21.8,545,0.0002363288556716,0.0003392089639098,0,other,0,0
21.84,546,0.0007602872526665,0.0004678029301329,0,other,0,0
21.88,547,0.000533147125647,0.0001088076219619,0,other,0,0
21.92,548,0.0019098768540896,0.0001341637856371,0,other,0,0
21.96,549,0.0031198420105282,0.0005602044240601,0,other,0,0
22.0,550,0.0011747212261624,0.000225798147558,0,other,0,0
22.04,551,0.0009516238113837,2.3833640399679724e-05,0,other,0,0
22.08,552,0.0024926773549046,1.2911750892581426e-05,0,other,0,0
22.12,553,0.0006184422243755,4.51971057894702e-05,0,other,0,0
22.16,554,0.0002181356928054,0.0001335966707697,0,other,0,0
22.2,555,0.0016661155552053,7.653892876170865e-05,0,other,0,0
22.24,556,0.0042662330651592,0.0002712930678795,0,other,0,0
22.28,557,0.0014212563582397,0.0001327628039602,0,other,0,0
22.32,558,0.0017140118148857,0.0003067620614887,0,other,0,0
22.36,559,0.0014677584790211,0.0001501363713848,0,other,0,0
22.4,560,0.0005762954726121,8.220472301986102e-05,0,other,0,0
22.44,561,0.002374102234816,0.0002909121329846,0,other,0,0
22.48,562,0.0043800825098888,0.0005983339189367,0,other,0,0
22.52,563,0.0095195299557373,0.00189366605602,0,other,0,1
22.56,564,0.005420744464411,0.0007053481417515,0,other,0,1
22.6,565,0.0024284253921166,0.0009725612452517,0,other,0,1
22.64,566,0.0005168836172457,0.0003023342268232,0,other,0,1
22.68,567,0.000556062070656,0.0004626221829509,0,other,0,1
22.72,568,0.0013513755882728,0.0014716580331401,0,other,0,1
22.76,569,0.0010935588735176,0.0012466492544897,0,other,0,1
22.8,570,0.0010668289321352,0.0007114502428789,0,other,0,1
22.84,571,0.0033775356128129,0.0020317190691654,0,other,0,1
22.88,572,0.0013555531497931,0.0007977258163498,0,other,0,1
22.92,573,0.0035582295490529,0.0028305434329553,0,other,0,1
22.96,574,0.0071318693027868,0.00749551761626,0,other,0,1
23.0,575,0.0037092434480551,0.0036979062006066,0,other,0,0
23.04,576,0.0041157713053628,0.0030903716481109,0,other,0,0
23.08,577,0.0015098159904035,0.0013469203691299,0,other,0,0
23.12,578,0.0036310671044995,0.0033009589439341,0,other,0,0
23.16,579,0.0064696241922467,0.0052237946999529,0,other,0,0
23.2,580,0.0038697288711279,0.0047559219302727,0,other,0,0
23.24,581,0.0061719134178477,0.0044351066720483,0,other,0,0
23.28,582,0.001860242319421,0.0013683431823132,0,other,0,0
23.32,583,0.0015626484104846,0.002700839718704,0,other,0,0
23.36,584,0.0010511651547808,0.0052329374807185,0,other,0,0
23.4,585,0.0016214488406224,0.0023014416773371,0,other,0,0
23.44,586,0.0026656044542461,0.0006700961842881,0,other,0,0
23.48,587,0.0033545102027148,0.0001812544700516,0,other,0,0
23.52,588,0.0035218741108345,0.0002833168415192,0,other,0,0
23.56,589,0.0031578036325833,0.0009111925491676,0,other,0,0
23.6,590,0.0022591921638201,0.0026634879262098,0,other,0,0
23.64,591,0.0010024634256617,0.0050683460983814,0,other,0,0
23.68,592,0.0010416460861072,0.0021409321955657,0,other,0,0
23.72,593,0.0057156215558791,0.0056715987425418,0,centre,0,0
23.76,594,0.0108185420019298,0.0096224957371936,0,centre,0,0
23.8,595,0.009109847363297,0.008067584799818,0,centre,0,0
23.84,596,0.0099767767138997,0.0094108905606758,0,centre,0,0
23.88,597,0.0036082355112838,0.0032190780678648,0,centre,0,0
23.92,598,0.0086334602029351,0.0066254641901063,0,centre,0,0
23.96,599,0.0141497003470391,0.0111261984104251,0,centre,0,0
24.0,600,0.0112161738474366,0.0095220766932787,0,centre,0,0
24.04,601,0.012311724725139,0.0123902647434948,0,centre,0,0
24.08,602,0.0079344956564728,0.0075504453553524,0,centre,0,0
24.12,603,0.0024428342468822,0.0023448261664505,0,centre,0,0
24.16,604,0.0066643286793358,0.0061891909462618,0,centre,0,0
24.2,605,0.0124567699298908,0.0121309009588922,0,centre,0,0
24.24,606,0.0095407225379153,0.0093306498357111,0,centre,0,0
24.28,607,0.0021332481088802,0.0023392984761796,0,centre,0,0
24.32,608,0.0017422924817159,0.0033488850456477,0,centre,0,0
24.36,609,0.0031770973871512,0.0038483752850101,0,centre,0,0
24.4,610,0.0028307848675824,0.0033449133750894,0,centre,0,0
24.44,611,0.0008797852087749,0.0011351909200052,0,centre,0,0
24.48,612,0.0011808793689577,0.0016163996274465,0,centre,0,0
24.52,613,0.0009608380025662,0.0008299525679032,0,centre,0,0
24.56,614,0.004211784824732,0.0019072359952863,0,centre,0,0
24.6,615,0.004411955819263,0.0004744418156876,0,centre,0,0
24.64,616,0.0051919236229265,6.02116118143471e-05,0,centre,0,0
24.68,617,0.0051987283578629,0.000388184081375,0,centre,0,0
24.72,618,0.00385991016667,0.000683016755894,0,centre,0,0
24.76,619,0.0075071232658741,0.0002699845160282,0,centre,0,0
24.8,620,0.0111877132129409,0.0004175270303109,0,centre,0,0
24.84,621,0.0125480401421594,0.0015572097002601,0,centre,0,0
24.88,622,0.0035980815949834,0.0007806683613901,0,centre,0,0
24.92,623,0.0063359367884748,0.0037080104244434,0,centre,0,0
24.96,624,0.0118980392980376,0.0100351605387413,0,centre,0,0
25.0,625,0.0112839204100625,0.0096957239271526,0,other,0,0
25.04,626,0.0140125792379262,0.0132121023305771,0,other,0,0
